,0,1
"-0.0,-0.1",-0.0011770238859005538,-0.007114982855763932
"-0.0,0.0",0.008067933420810023,-0.005267318512324046
"-0.1,-0.1",0.0037462578465533576,-0.004129210338455671
"0.1,0.2",-0.005023904812509068,-0.002240876913663899
"-0.4,-0.6",0.0028374086688989497,-0.010460415030886615
"1.3,1.7",0.011182076514944227,-0.010159955904508354
"0.1,0.1",-0.004335898187105842,0.0014323706494330324
"-0.0,-0.2",-0.0024357969773047853,0.000915064140224633
"0.1,1.0",-0.004734735360670119,0.008075969251364088
"-0.3,-0.4",-0.01261772839667063,-0.0001869617675404802
"0.4,0.5",-0.007456569712646982,-0.009366966927762137
"0.2,-0.2",0.008183135599835705,-0.014036635052849498
"0.1,-0.1",-0.00823160719892487,-0.0011279622091206326
"0.0,-0.0",0.0010489067489755045,-0.006815975397250389
"0.1,0.5",-0.007188486116004707,0.002810820957735078
"0.2,0.1",-0.002220064369272857,-0.006258026406815711
"0.1,0.3",-0.0028711184024056446,0.00043955918867948584
"0.0,-0.1",-0.009587204193513292,0.0020788736526293765
"0.3,0.2",-0.0026570825918257324,-0.0072755960599974285
"-0.1,-0.0",-0.00023392800926472202,-0.006288900917597238
"1.6,1.1",-0.0037424262157899303,0.0020016534058978587
"0.1,-1.5",0.005081276002032502,-0.004835839350378168
"0.0,0.3",-0.005597336384544368,0.004752673766862393
"0.2,-0.1",-0.0036332635399548524,-0.000157459438465182
"1.0,1.1",-0.005980235073825469,0.001912080822703774
"0.3,-0.7",0.011456858606318959,-0.0064097866115628115
"0.0,0.1",-0.00014819631996008248,-7.691869711068261e-05
"0.2,0.5",-0.005022820964765228,0.006144372083277114
"0.0,-0.2",-0.00515186415159273,-0.010504443879799995
"0.2,0.4",-0.011425984303953581,-0.013519867017772053
"1.1,0.9",-0.01632339323753294,-0.0055149663557738544
"-1.1,-2.1",0.001046226155477138,-0.005170532351988286
"0.0,-0.4",-0.012912192066728079,-0.005942402333760777
"-0.1,-0.4",-0.007368523721621522,0.004386260853435041
"0.2,0.2",0.0004572564834774038,-0.0015178126149019409
"0.2,0.0",-0.014622971587876097,0.0111298859413435
"0.1,0.6",-0.0058546678456477775,-0.004487735266793908
"0.1,-0.2",0.00015106369760188506,-0.012179688365430763
"-0.1,0.1",-0.008022350433402223,0.01424978159840803
"-0.3,-0.2",-0.009129843462703388,-0.0010613612502434777
"0.3,0.6",-0.009345020433341747,0.002207294199356457
"-0.9,-0.7",-0.006135161960216889,-0.0006116462295410264
"-0.4,0.5",0.0037186177773366634,0.00042480838144130784
"0.6,0.2",0.00329283780477403,-0.004989283559143128
"-0.1,-0.7",-0.00924538418062397,-0.0004266927616535383
"-0.5,-0.1",-0.009404326896645271,0.004872563624320829
"0.0,0.2",-0.0032891163334306524,-0.008829046901922639
